f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
1.6550319,-0.28359967,-0.5737235,1.8305403,-0.23662299,-0.5406374,-0.92334837,-0.35343066,-0.001462698,-1.1573963,-0.44764656,1.4087276,0.7142377,1.6120994,-0.4146151,-0.78663015,-1.5245463,1.3142096,-1.5037001,-1.6738049,-0.48477036,-0.023442686,1.0249364,1.3859109,0.24419469,1.5972384,1.4206061,-1.1502695,-1.4169708,-0.1615117
0.92784435,-0.32770333,-0.11179307,1.7909757,-0.09891915,0.19897845,0.47272313,1.0129243,-0.65878147,-1.2612953,-0.432072,-0.6043079,1.5061125,1.2442069,-0.35656512,0.09973244,-0.5119036,0.4206182,-1.594804,-0.0012298822,-0.41874564,0.07556689,1.0594279,1.7840229,-1.6069913,1.2574176,2.0523484,-0.6860103,-1.0295383,0.760225
1.2924947,-1.2338784,-0.97542894,0.57630527,0.7783161,-1.1292429,-0.53950137,-1.0931051,-0.102818914,-1.0052743,-1.3965816,-0.25311393,0.26733425,1.1665311,-1.1237545,-0.19137324,0.42032784,0.90026844,-1.3903744,-1.0859201,-1.131141,-0.9063196,-0.5656346,1.5547473,0.29944223,1.4906296,1.1445566,0.5334055,-0.037790835,0.4911697
1.285235,-0.724983,-0.4063708,1.7109107,0.27533662,-1.701621,-1.2926121,-1.2159486,-0.908867,0.35396302,0.08877102,0.17088814,0.8122124,1.6115263,-0.44477293,-1.4953393,-1.0704097,1.645639,-1.218741,-1.6629093,-0.3064603,-1.3512186,1.0214891,1.2910495,-0.20672733,0.93646455,0.7744363,-1.0212803,-0.99987006,0.6733903
2.1548243,-0.21954462,0.1235431,1.7263901,0.065305784,-1.1038278,-0.8431049,-0.42692834,0.77388227,-1.0437548,-0.60745156,1.1656083,1.7223268,1.8575989,-1.1094936,-0.8100468,-0.16498491,0.16467789,-0.7859398,-0.5894669,0.037970237,0.4392416,-0.8327599,2.043603,0.46782202,1.0718888,1.2053093,-0.7967027,-0.4722821,0.09196721
2.2906466,0.014274124,-0.9215807,1.7052406,-0.18089518,0.1917353,-1.2309028,0.5328956,0.029963091,-0.53916365,-0.9030857,-0.23593731,-0.12332161,1.1547558,-0.30585086,-0.4470752,-1.342972,0.9575655,-2.0472853,-1.1444657,-1.196334,0.51985717,-0.5230715,1.1773074,-0.72267675,1.5945294,0.98051983,-0.62879306,-0.6991452,0.7497275
2.314896,0.58857745,-0.86562747,1.4242928,0.28427953,-0.25018537,-1.0786189,-0.09360923,-0.47499216,-0.90936,-1.0408876,1.4870472,0.20751259,1.3639339,-0.6308018,-0.5383585,-1.7885227,1.9671444,-0.47796834,-0.88211775,-0.54220974,0.12773268,0.35353357,0.93526065,0.13839787,2.1664453,0.5849402,-0.7030017,-0.952953,0.57578504
0.8355906,0.84243715,0.47014654,0.72757137,-0.22261342,-0.59870785,-0.9180471,0.5300108,-0.65758854,-0.80299956,-0.6273978,0.32654727,0.49581325,0.964388,-0.9477452,-0.8450656,-0.7917519,0.5679876,-1.8560438,-0.8774188,-0.7471851,0.109815195,0.24521627,2.1866636,-0.68553376,1.5064479,1.2198006,-0.15069304,-1.4737797,1.2026471
1.0334679,-1.6325611,0.331189,0.72079855,0.0817945,-0.55974746,-1.2873719,-1.0658039,0.26969194,-1.0687637,0.06340156,0.22643612,1.2719994,1.0711178,-1.530454,-0.28349912,-0.778588,-0.055977784,-1.345173,-0.9312783,-0.16403374,-0.07708349,0.07225843,2.7650487,-0.15739462,1.5362954,1.2839731,0.69586813,-0.28619808,0.33657548
1.5552644,0.32781816,0.8910764,0.87187064,-0.7162753,-0.8672767,-1.0219576,-0.11915879,-0.37477958,0.2538257,-1.5558627,-0.3521577,0.6570941,1.4570694,-0.35148364,-1.0001721,-1.7740151,0.0016311009,-1.9096953,-1.1938161,-0.65918285,0.1193396,-0.6305888,2.0437622,-1.2057369,0.40574154,0.8333401,-0.6017699,-0.7172011,1.115009
