epochs,lr,weight_decay,momentum,lr_decay,accuracy
1000,0.0001,1e-05,0.0,0.9,0.5
1000,0.0001,1e-05,0.0,0.99,0.5
1000,0.0001,1e-05,0.5,0.9,0.5
1000,0.0001,1e-05,0.5,0.99,0.5
1000,0.0001,1e-05,0.9,0.9,0.5
1000,0.0001,1e-05,0.9,0.99,0.5
1000,0.0001,0.0001,0.0,0.9,0.5
1000,0.0001,0.0001,0.0,0.99,0.5
1000,0.0001,0.0001,0.5,0.9,0.5
1000,0.0001,0.0001,0.5,0.99,0.5
1000,0.0001,0.0001,0.9,0.9,0.5
1000,0.0001,0.0001,0.9,0.99,0.5
1000,0.0001,1e-06,0.0,0.9,0.5
1000,0.0001,1e-06,0.0,0.99,0.5
1000,0.0001,1e-06,0.5,0.9,0.5
1000,0.0001,1e-06,0.5,0.99,0.5
1000,0.0001,1e-06,0.9,0.9,0.5
1000,0.0001,1e-06,0.9,0.99,0.5
1000,0.001,1e-05,0.0,0.9,0.5
1000,0.001,1e-05,0.0,0.99,0.5
1000,0.001,1e-05,0.5,0.9,0.5
1000,0.001,1e-05,0.5,0.99,0.5
1000,0.001,1e-05,0.9,0.9,0.5714285714285714
1000,0.001,1e-05,0.9,0.99,0.5714285714285714
1000,0.001,0.0001,0.0,0.9,0.5
1000,0.001,0.0001,0.0,0.99,0.5
1000,0.001,0.0001,0.5,0.9,0.5
1000,0.001,0.0001,0.5,0.99,0.5
1000,0.001,0.0001,0.9,0.9,0.5714285714285714
1000,0.001,0.0001,0.9,0.99,0.5714285714285714
1000,0.001,1e-06,0.0,0.9,0.5
1000,0.001,1e-06,0.0,0.99,0.5
1000,0.001,1e-06,0.5,0.9,0.5
1000,0.001,1e-06,0.5,0.99,0.5
1000,0.001,1e-06,0.9,0.9,0.5714285714285714
1000,0.001,1e-06,0.9,0.99,0.5714285714285714
500,0.0001,1e-05,0.0,0.9,0.5
500,0.0001,1e-05,0.0,0.99,0.5
500,0.0001,1e-05,0.5,0.9,0.5
500,0.0001,1e-05,0.5,0.99,0.5
500,0.0001,1e-05,0.9,0.9,0.5
500,0.0001,1e-05,0.9,0.99,0.5
500,0.0001,0.0001,0.0,0.9,0.5
500,0.0001,0.0001,0.0,0.99,0.5
500,0.0001,0.0001,0.5,0.9,0.5
500,0.0001,0.0001,0.5,0.99,0.5
500,0.0001,0.0001,0.9,0.9,0.5
500,0.0001,0.0001,0.9,0.99,0.5
500,0.0001,1e-06,0.0,0.9,0.5
500,0.0001,1e-06,0.0,0.99,0.5
500,0.0001,1e-06,0.5,0.9,0.5
500,0.0001,1e-06,0.5,0.99,0.5
500,0.0001,1e-06,0.9,0.9,0.5
500,0.0001,1e-06,0.9,0.99,0.5
500,0.001,1e-05,0.0,0.9,0.5
500,0.001,1e-05,0.0,0.99,0.5
500,0.001,1e-05,0.5,0.9,0.5
500,0.001,1e-05,0.5,0.99,0.5
